id,name,pincode
1,Anand Vihar,110092
2,Azad Nagar East Delhi,110051
3,Babarpur North East Delhi,110032
4,Badarpur Khadar,110090
5,Balbir Nagar,110032
6,Bhajan Pura,110053
7,Bhola Nath Nagar,110032
8,Brahampuri,110053
9,Chilla,110091
10,Dayalpur,110094
11,Dilshad Garden,110095
12,Distt Court KKD,110032
13,G T B Hospital,110095
14,Gandhi Nagar Bazar,110031
15,Gandhi Nagar East Delhi,110031
16,Garhi Mandu,110053
17,Geeta Colony,110031
18,Ghazipur,110096
19,Ghonda,110053
20,Gokal Puri,110094
21,Goverdhan Bihari Colony,110032
22,Govind Pura,110051
23,Harsh Vihar,110093
24,Himmatpuri,110091
25,IP Extension,110092
26,Jafrabad East Delhi,110053
27,Jagjit Nagar,110053
28,Jhilmil,110095
29,Jhilmil Tahirpur,110095
30,Johripur,110094
31,Kailash Nagar,110031
32,Kalyanpuri,110091
33,Kalyanvas,110091
34,Karawal Nagar,110090
35,Khazuri Khas,110094
36,Krishna Nagar,110051
37,Laxmi Nagar East Delhi,110092
38,Loni Road Housing Complex,110093
39,Loni Road,110032
40,Man Sarovar Park,110032
41,Mandawali Fazalpur,110092
42,Mandoli Saboli,110093
43,Maujpur,110053
44,Mayur Vihar Ph I,110091
45,Mayur Vihar Ph III,110096
46,Nand Nagri A,110093
47,Nand Nagri C,110093
48,New Seemapuri,110095
49,New Usmanpur,110053
50,Nirman Vihar,110092
51,Old Seemapuri,110095
52,Patparganj,110091
53,Raghubar Pura,110031
54,Rajgarh Colony,110031
55,Ram Nagar East Delhi,110051
56,Rohtash Nagar,110032
57,Sabhapur,110094
58,Seelampur,110053
59,Shahdara Mandi,110032
60,Shahdara,110032
61,Shaheed Bhagat Singh Colony,110090
62,Shakarpur,110092
63,Shastri Nagar East Delhi,110031
64,Shivaji Park East Delhi,110032
65,Shriram Colony Rajeev Nagar,110090
66,Sonia Vihar,110090
67,Sunder Nagari,110093
68,Surajmal Vihar,110092
69,Telewara,110032
70,Trilok Puri,110091
71,V K Nagar,110095
72,Vasundhra Enclave,110096
73,Vishwas Nagar,110032
74,Vivek Vihar,110095
75,Yamuna Vihar,110053
76,Yozna Vihar,110092
77,Delhi G P O,110006
78,Adrash Nagar,110033
79,Alipur,110036
80,Anandvas Shakurpur,110034
81,Aruna Nagar,110054
82,Ashok Vihar,110052
83,Auchandi,110039
84,Avantika,110085
85,Badli North West Delhi,110042
86,Bakhtawar Pur,110036
87,Bakoli,110036
88,Bankner,110040
89,Baratooti,110006
90,Barwala,110039
91,Bawana,110039
92,Begumpur,110086
93,Bhalaswa,110033
94,Bhorgarh,110040
95,Budh Vihar,110086
96,Burari,110084
97,C C I,110007
98,Chand Pur,110081
99,Chandni Chowk,110006
100,Chawri Bazar,110006
101,Civil Lines North Delhi,110054
102,Dareeba,110006
103,Daryapur Kalan,110039
104,Delhi Engg College,110042
105,Delhi Sadar Bazar,110006
106,Delhi University,110007
107,District Courts North Delhi,110054
108,Dr Mukerjee Nagar,110009
109,G T B Nagar,110009
110,Ganeshpura,110035
111,Gheora,110081
112,Ghoga,110039
113,Gujranwala Colony,110009
114,Gulabi Bagh,110007
115,H S Sangh,110009
116,Haiderpur,110088
117,Hareveli,110039
118,Hiranki,110036
119,Holambi Kalan,110082
120,Jagatpur,110084
121,Jahangir Puri A Block,110033
122,Jahangir Puri D Block,110033
123,Jahangir Puri H Block,110033
124,Jat Khore,110039
125,Jaunti,110081
126,Jawahar Nagar North Delhi,110007
127,Jharoda Majraa,110084
128,Kadipur,110036
129,Kamla Nagar North Delhi,110007
130,Kanjhawla,110081
131,Kanya Gurukul,110040
132,Karala,110081
133,Katewara,110039
134,Keshav Puram North West Delhi,110035
135,Khampur,110036
136,Khera Kalan,110082
137,Khera Khurd,110082
138,Lad Pur,110081
139,Lampur,110040
140,Majnu ka Tila,110054
141,Majra Dabas,110081
142,Malka Ganj,110007
143,Mangolpuri A Block,110083
144,Mangolpuri I Block,110083
145,Mangolpuri N Block,110083
146,Mangolpuri S Block,110083
147,Maurya Enclave,110034
148,Model Town II,110009
149,Model Town III,110009
150,Mubarak Pur Dabas,110081
151,Mukhmelpur,110036
152,Mungeshpur,110039
153,N S Mandi,110033
154,Naharpur,110085
155,Nangal Poona,110036
156,Nangal Thakran,110039
157,Narela,110040
158,Naya Bans,110082
159,New Multan Nagar,110056
160,Nimri,110052
161,Nirankari Colony,110009
162,Nizampur,110081
163,Onkar Nagar,110035
164,Padam Nagar North Delhi,110007
165,Palla,110036
166,Patrachar Vidyalay,110054
167,Pehlad Pur,110042
168,Pooth Kalan,110086
169,Pooth Kalan Resettlement,110086
170,Pooth Khurd,110039
171,Power House,110035
172,Prashant Vihar,110085
173,Prem Nagar,110086
174,Punjab Khor,110081
175,Qutabagarh,110039
176,R C A O,110007
177,Rampura,110035
178,Rana Pratap Bagh,110007
179,Rani Bagh,110034
180,Rani Khera,110081
181,Rithala,110085
182,Rohini Courts,110085
183,Rohini Sec 11,110085
184,Rohini Sector 15,110089
185,Rohini Sector 5,110085
186,Rohini Sector 7,110085
187,Roop Nagar,110007
188,Roshan Ara Road,110007
189,S T Road,110006
190,Samai Pur,110042
191,Sanoth,110040
192,Sarai Rohilla,110035
193,Saraswati Vihar,110034
194,Satyawati Nagar,110052
195,Shahbad Daulatpur,110042
196,Shakti Nagar North Delhi,110007
197,Shakur Basti Depot,110056
198,Shakur Pur I Block,110034
199,Shakurbasti Rs,110034
200,Shalamar,110088
201,Shalimar Bagh North West Delhi,110088
202,Shastri Nagar North West Delhi,110052
203,Singhu,110040
204,Siraspur,110042
205,Sri Nagar Colony,110034
206,Sultanpuri B Block,110086
207,Sultanpuri C Block,110086
208,Sultanpuri F Block,110086
209,Tajpur Kalan,110036
210,Tikri Khurd,110040
211,Timarpur,110054
212,Wazir Pur III,110052
213,Wazirabad Village,110084
214,A G C R,110002
215,A K Market,110055
216,Ajmeri Gate Extn,110002
